2c5f44b3be59f52e7c0dc650febec29b -> [['o', 'e', 'u', 'q'], ['i', 't', 'w', 'f'], ['a', 'm', 'c', 'h'], ['j', 'z', 'g', 'x']]
cfed195bd9b4756e5fedcc5731a9301e -> [['y', 'f', 'r', 'g'], ['k', 'b', 'w', 'u'], ['z', 't', 'h', 'p'], ['e', 'v', 'c', 'o']]
662f544c855c6035e207d606c482f9c7 -> [['i', 'k', 'j', 'q'], ['h', 'w', 's', 'd'], ['z', 'a', 'u', 'n'], ['m', 'y', 'f', 'l']]
1cba8548de8f2ff2c2aa6be5a6bf1927 -> [['z', 'a', 'i', 'q'], ['f', 'm', 'p', 'u'], ['t', 'x', 'h', 'r'], ['s', 'e', 'w', 'g']]
ce62fcf0b709315a9aaf92692b10c6c0 -> [['u', 'r', 'j', 'm'], ['b', 'x', 'f', 'y'], ['t', 'i', 'k', 'l'], ['q', 'a', 'd', 'e']]
83bafa93c3ae6d7f8115a30a40d6d67d -> [['t', 'h', 'f', 'l'], ['o', 'r', 'q', 'k'], ['n', 'j', 'z', 'm'], ['x', 'u', 'e', 'w']]
77b18e180e138d97e51f237a2ed3fa8c -> [['m', 'g', 't', 'c'], ['r', 'd', 'h', 'l'], ['f', 'k', 'o', 'x'], ['b', 'z', 'a', 'e']]
77692c9167edb1400e855ddacf717a14 -> [['y', 'n', 'k', 'j'], ['f', 'w', 'd', 'u'], ['o', 'q', 'g', 'c'], ['s', 'l', 'r', 'i']]
6e283994e2be7985c0a8fd826896519b -> [['a', 'f', 'u', 'r'], ['m', 's', 'h', 'q'], ['e', 'k', 'c', 'x'], ['j', 'p', 'l', 'y']]
20b500cd4b935b7619099fee6e8f39d2 -> [['f', 'c', 'q', 'r'], ['g', 'p', 't', 'w'], ['x', 'z', 'n', 'a'], ['l', 'e', 'o', 'y']]
bed914839979d3e9cb2c35536ca639df -> [['o', 'e', 'y', 'u'], ['g', 'k', 'f', 'j'], ['v', 'q', 't', 'l'], ['h', 'a', 'r', 's']]
37e232ea45311fd6427ef562243c3f5a -> [['y', 'u', 'z', 'e'], ['o', 'l', 'h', 'i'], ['p', 's', 'd', 'x'], ['k', 'v', 't', 'w']]
bcb653322de3852f088e2575ea0fcb79 -> [['x', 'q', 'r', 'j'], ['d', 'i', 'l', 'k'], ['o', 'e', 'm', 'c'], ['w', 'g', 'b', 't']]
d3b9e56fc096f066ce734e81f56fd67b -> [['n', 'b', 'l', 'h'], ['p', 'c', 'f', 'r'], ['j', 't', 'x', 'y'], ['i', 'k', 'a', 'u']]
70c7ffe497022297a8d3ea36a71b55e8 -> [['s', 'l', 'i', 'x'], ['p', 'y', 'q', 'm'], ['o', 'g', 'f', 'n'], ['b', 'e', 'k', 'w']]
9a0a5b87ed29d341983fa6bbe886f068 -> [['q', 'u', 't', 'c'], ['z', 'e', 'b', 'o'], ['a', 'm', 'x', 'd'], ['n', 's', 'i', 'p']]
1914d002f78d5713e1db80d6ef23d9c1 -> [['k', 'p', 's', 'b'], ['h', 'v', 'i', 'c'], ['j', 'm', 'e', 'f'], ['l', 'r', 'x', 'd']]
799ac88280429ff7ed35fe6e4b36450f -> [['v', 'o', 'm', 'i'], ['z', 'g', 'j', 'l'], ['x', 'p', 's', 'y'], ['k', 'b', 'd', 'c']]
10f46e537cd178163849835e49270b56 -> [['k', 'w', 'i', 'y'], ['p', 'o', 'n', 'a'], ['u', 'x', 's', 'z'], ['l', 'm', 'j', 't']]
c5977212f2109e69670f022345af1fb1 -> [['l', 'f', 's', 'r'], ['t', 'q', 'h', 'n'], ['w', 'e', 'm', 'x'], ['g', 'p', 'v', 'b']]
497f61e8ca26996b4a1bb03332c4f701 -> [['d', 'w', 'u', 'e'], ['s', 't', 'z', 'i'], ['x', 'b', 'q', 'p'], ['m', 'j', 'v', 'y']]
cf7111181b3b5e3ba442ee8e7f5b5a84 -> [['w', 'k', 'p', 'l'], ['a', 'o', 'b', 's'], ['z', 'd', 'g', 'x'], ['m', 'j', 't', 'r']]
cbe3f11ba66c8cb18b6005065db5e263 -> [['f', 'e', 'm', 'd'], ['h', 's', 'a', 'w'], ['r', 'o', 'u', 'p'], ['x', 'z', 'q', 'l']]
b72631c75ced077a0547b8d3dd27180f -> [['v', 'p', 'u', 'i'], ['w', 'z', 'y', 'o'], ['x', 'g', 'h', 'l'], ['b', 'm', 'q', 'f']]
3b440556da31b54304706837d7def1b6 -> [['x', 'v', 'z', 'q'], ['b', 'u', 'i', 'd'], ['n', 'l', 'p', 'g'], ['f', 'y', 'e', 'r']]
d701e79e0bb0aad324e95f0ec6977df9 -> [['p', 'l', 'q', 'u'], ['g', 'r', 'a', 'e'], ['w', 'h', 'j', 'b'], ['c', 'x', 'v', 'f']]
da7998392c7ca4a65dd55e263edee6f0 -> [['e', 'p', 'k', 'h'], ['r', 'v', 'c', 'd'], ['j', 'm', 'l', 'x'], ['u', 'w', 'f', 'q']]
c55f8b2ac1d72078612c5af6825e3a71 -> [['l', 'n', 'w', 'b'], ['o', 'j', 'p', 'g'], ['r', 'a', 'c', 'm'], ['i', 'v', 'x', 'k']]
284d317659ee9d66259523fe51b564d5 -> [['q', 'c', 'd', 'u'], ['t', 'b', 'i', 'k'], ['m', 'v', 'w', 'a'], ['e', 's', 'l', 'g']]
5c2d3d4518fb29ffce1ac0bddf38a668 -> [['r', 'h', 'b', 'y'], ['q', 'v', 'l', 'u'], ['m', 'o', 'd', 'i'], ['t', 'n', 'w', 'a']]
068a647dde97a7cfd6142e06b658b17d -> [['z', 'y', 'x', 'w'], ['u', 'n', 'v', 'k'], ['e', 'o', 'q', 'l'], ['t', 'f', 'c', 'g']]
5e16aa922021aff331855e97e91cd8a5 -> [['l', 'g', 'y', 'e'], ['h', 'v', 'a', 't'], ['i', 'x', 'c', 'b'], ['s', 'z', 'r', 'w']]
69e15b71ee4d7fc94079ac73d83c775d -> [['o', 'u', 'f', 'd'], ['s', 'e', 'y', 'v'], ['h', 't', 'z', 'a'], ['j', 'n', 'r', 'x']]
efce8c9c3ca7a6d7874300d4f099ea3e -> [['r', 'x', 'i', 'c'], ['q', 'o', 'h', 's'], ['m', 'l', 'v', 'u'], ['d', 'f', 'j', 'g']]
323a48f13f278f52609357fa7ce0304d -> [['b', 'h', 'y', 'x'], ['q', 'c', 'a', 'e'], ['r', 'm', 'l', 'w'], ['p', 't', 'n', 'k']]
